Month,Temperature,Season
7,25.88,Summer
8,36.76,Summer
7,28.99,Summer
9,27.24,Summer
9,30.03,Summer
5,29.62,Summer
8,30.13,Summer
8,37.81,Summer
5,36.84,Summer
9,34.63,Summer
5,26.6,Summer
6,38.4,Summer
5,38.55,Summer
9,38.97,Summer
6,32.77,Summer
7,36.63,Summer
9,39.31,Summer
7,27.06,Summer
6,35.74,Summer
9,34.22,Summer
9,28.29,Summer
5,37.56,Summer
7,28.74,Summer
8,39.85,Summer
9,39.54,Summer
9,33.66,Summer
6,30.48,Summer
6,31.75,Summer
7,32.31,Summer
9,38.39,Summer
8,32.12,Summer
5,30.65,Summer
7,39.03,Summer
9,38.14,Summer
9,25.36,Summer
5,35.38,Summer
7,28.48,Summer
9,36.22,Summer
8,34.98,Summer
8,39.45,Summer
9,25.18,Summer
8,26.59,Summer
6,37.21,Summer
5,34.13,Summer
9,37.82,Summer
9,38.92,Summer
9,26.3,Summer
9,28.18,Summer
8,26.62,Summer
9,30.06,Summer
8,28.26,Summer
9,27.42,Summer
6,34.99,Summer
5,25.96,Summer
8,34.31,Summer
6,35.05,Summer
8,27.74,Summer
8,26.6,Summer
5,28.91,Summer
6,30.81,Summer
8,26.36,Summer
9,39.57,Summer
9,38.45,Summer
6,39.71,Summer
5,33.6,Summer
7,37.71,Summer
8,28.08,Summer
3,0.27,Winter
11,-2.79,Winter
11,6.91,Winter
12,12.95,Winter
12,6.8,Winter
11,7.47,Winter
11,11.01,Winter
12,-3.26,Winter
1,14.81,Winter
3,1.24,Winter
1,8.1,Winter
1,7.92,Winter
12,-2.61,Winter
1,6.18,Winter
2,-0.99,Winter
12,-3.36,Winter
3,3.16,Winter
1,-2.81,Winter
12,-2.92,Winter
3,6.19,Winter
12,-1.15,Winter
2,9.42,Winter
1,0.71,Winter
3,-2.23,Winter
1,9.09,Winter
1,12.8,Winter
12,3.87,Winter
3,-3.11,Winter
11,3.74,Winter
12,3.99,Winter
12,3.96,Winter
2,-0.34,Winter
2,6.17,Winter
2,11.58,Winter
3,-3.91,Winter
1,12.87,Winter
2,3.01,Winter
3,0.05,Winter
11,3.72,Winter
12,14.68,Winter
2,0.25,Winter
2,9.72,Winter
1,-0.75,Winter
11,-1.67,Winter
3,0.81,Winter
3,9.24,Winter
2,7.35,Winter
2,9.31,Winter
11,0.88,Winter
3,0.91,Winter
1,0.35,Winter
3,5.35,Winter
2,9.64,Winter
1,9.5,Winter
2,13.69,Winter
3,10.3,Winter
2,-0.7,Winter
11,13.55,Winter
3,-1.09,Winter
1,5.17,Winter
2,-1.29,Winter
1,14.85,Winter
12,7.69,Winter
3,5.64,Winter
11,11.63,Winter
2,14.3,Winter
12,-2.66,Winter
3,4.45,Winter
1,13.3,Winter
3,-4.35,Winter
12,13.98,Winter
2,-0.86,Winter
3,11.22,Winter
12,11.17,Winter
11,-1.85,Winter
3,1.01,Winter
11,4.51,Winter
1,0.24,Winter
1,5.69,Winter
11,-2.94,Winter
2,11.0,Winter
1,8.86,Winter
1,-1.82,Winter
12,13.01,Winter
3,14.65,Winter
2,14.6,Winter
12,-2.1,Winter
3,6.4,Winter
12,9.6,Winter
11,-2.76,Winter
2,-1.1,Winter
11,3.75,Winter
11,5.59,Winter
2,-3.15,Winter
3,5.16,Winter
12,-4.94,Winter
2,14.69,Winter
3,5.05,Winter
1,14.17,Winter
11,9.68,Winter
2,14.66,Winter
2,1.79,Winter
11,1.78,Winter
2,13.0,Winter
3,11.25,Winter
2,-0.91,Winter
2,13.76,Winter
2,14.95,Winter
3,0.59,Winter
3,-3.23,Winter
3,-3.36,Winter
3,0.3,Winter
1,-1.33,Winter
1,-2.46,Winter
2,14.49,Winter
2,12.76,Winter
2,7.99,Winter
1,14.78,Winter
3,10.56,Winter
1,2.49,Winter
1,3.87,Winter
3,5.88,Winter
12,14.52,Winter
11,13.0,Winter
11,-2.48,Winter
3,3.9,Winter
11,3.17,Winter
2,6.08,Winter
1,-2.0,Winter
1,4.41,Winter
11,3.9,Winter
2,13.53,Winter
1,-0.09,Winter
12,0.12,Winter
2,3.41,Winter
1,12.32,Winter
3,13.78,Winter
3,-1.57,Winter
12,-4.26,Winter
12,5.07,Winter
2,-4.14,Winter
12,3.49,Winter
11,4.75,Winter
3,5.12,Winter
1,10.48,Winter
12,9.26,Winter
2,-4.26,Winter
11,-3.62,Winter
12,11.15,Winter
11,-4.77,Winter
12,13.96,Winter
12,0.05,Winter
1,-2.32,Winter
11,-3.39,Winter
3,-1.54,Winter
1,14.76,Winter
3,4.5,Winter
11,-3.63,Winter
11,13.09,Winter
1,-2.3,Winter
11,0.27,Winter
12,8.42,Winter
1,4.17,Winter
1,9.37,Winter
1,-1.18,Winter
2,4.12,Winter
2,-4.2,Winter
12,8.0,Winter
3,2.99,Winter
11,-3.18,Winter
2,10.82,Winter
11,2.53,Winter
1,-0.2,Winter
3,8.17,Winter
1,9.61,Winter
2,-4.41,Winter
2,8.75,Winter
11,3.52,Winter
1,9.42,Winter
1,-0.47,Winter
11,-3.98,Winter
2,8.75,Winter
11,7.08,Winter
3,8.13,Winter
11,-2.35,Winter
1,3.67,Winter
11,9.68,Winter
11,0.24,Winter
1,3.18,Winter
12,1.63,Winter
3,-2.04,Winter
2,11.73,Winter
11,2.53,Winter
3,-4.99,Winter
12,10.81,Winter
1,3.61,Winter
11,11.95,Winter
11,8.42,Winter
12,6.11,Winter
3,7.26,Winter
11,14.95,Winter
1,-3.84,Winter
2,3.69,Winter
12,3.15,Winter
2,12.47,Winter
12,13.36,Winter
11,-4.78,Winter
11,9.49,Winter
11,-0.51,Winter
1,14.46,Winter
